ts_entry,ts_exit,market_id,entry_price,exit_price,size,pnl,return_pct,model_prob,edge
1769885422,1769886012,89520848256403305974323485459854822913782396273578152633149755590292693577933,0.1060275,0.092535,1.0,-0.12725472165240137,-12.725472165240138,0.2941974479383775,0.1886974479383775
1769885422,1769886012,4761521433718407200548167932128837144934500996689649170146495553797502903996,0.003015,0.0024875,1.0,-0.17495854063018235,-17.495854063018236,0.12220159081375744,0.11920159081375743
1769885422,1769886012,20448833438570919362649154637754385929973352578192287502874618968292888532274,0.00603,0.0024875,1.0,-0.5874792703150912,-58.747927031509114,0.1960868657991089,0.19008686579910888
1769886012,1769886013,70584222105672215743914509614198676449757016746323593572033490884974443841053,0.1206,0.12935,1.0,0.07255389718076288,7.255389718076288,0.5346387646381296,0.41463876463812965
1769886013,1769886014,33789438262503923439675875234740307103705479802600154647130619138776464479717,0.037184999999999996,0.042287500000000006,1.0,0.13721930886110023,13.721930886110023,0.2821733466576406,0.2451733466576406
1769886013,1769886014,97664664245828520958438344196934528180164169789644193548823346370374757126784,0.00201,0.0024875,1.0,0.23756218905472637,23.756218905472636,0.053972091022745,0.051972091022745
1769886014,1769886015,65570440056117077542463878494177612662140785434913628124381440406242436241630,0.011054999999999999,0.00398,1.0,-0.639981908638625,-63.998190863862504,0.17760529919896742,0.1666052991989674
1769886014,1769886015,72012724360700510767037780555710363830014634797787940282136454146828040926557,0.0070350000000000005,0.00398,1.0,-0.43425728500355365,-43.42572850035536,0.18356675190916405,0.17656675190916404
1769886015,1769886016,110044455628775971785618539427229099821815416148768008176051068105157446559241,0.005025,0.0044775,1.0,-0.10895522388059697,-10.895522388059698,0.17783729113988514,0.17283729113988514
1769886015,1769886016,18819282518983024340055565234868223423589909363920183730949900798929318964595,0.00201,0.000995,1.0,-0.5049751243781095,-50.497512437810954,0.049821133292171076,0.047821133292171074
1769886015,1769886016,82957751318690071863522772988611716632657105774790633424530553703373517473647,0.0366825,0.051242499999999996,1.0,0.3969195120288964,39.69195120288964,0.35849983356784854,0.32199983356784856
1769886015,1769886016,73414222381656326204771753454630063673548497164758947581648273905027617570612,0.005527499999999999,0.004975,1.0,-0.09995477159656252,-9.995477159656252,0.24908315224282906,0.24358315224282906
1769886015,1769886016,90539223327898306443159925386738884879443774738066333067713209066421079642276,0.01005,0.00995,1.0,-0.00995024875621875,-0.9950248756218749,0.2626824452615635,0.25268244526156347
