config,num_leaves,learning_rate,n_estimators_used,val_loss,val_brier
1,15,0.05,77,0.4962714805626565,0.16356318313525553
2,31,0.05,75,0.4966555740565266,0.16354423693489417
3,63,0.05,49,0.49931609264698196,0.164776533762845
4,31,0.01,337,0.49663373175694464,0.16351414683421878
5,15,0.01,349,0.4966543271775776,0.16362730489177982
