model,split,log_loss,brier
Always 0.500,test,0.6931471805599452,0.25
Base rate (0.269),test,0.6000952942508212,0.20487784653147503
Momentum (dp_6),test,0.6000952942508212,0.20487784653147503
Volatility (vol_12),test,0.5968925465461861,0.20336039936203568
